team1,team2,score1,score2,time_completed,round_info,tournament_name,match_page,tournament_icon
Prodigy,All Day Long,13,8,1y ago,Qualifier C-Round of 64,First Strike: Europe,/5862/prodigy-vs-all-day-long-first-strike-europe-qualifier-c-ro64,https://owcdn.net/img/5f8e73ec18ba4.png
Cream Real Betis,Movistar Riders,3,13,1y ago,Qualifier C-Round of 64,First Strike: Europe,/5863/cream-real-betis-vs-movistar-riders-first-strike-europe-qualifier-c-ro64,https://owcdn.net/img/5f8e73ec18ba4.png
eXiLe eSports,8,13,               8,1y ago,Qualifier C-Round of 64,First Strike: Europe,/5864/exile-esports-vs-project-eversio-first-strike-europe-qualifier-c-ro64,https://owcdn.net/img/5f8e73ec18ba4.png
doneVAL,N0thing To L0se,8,13,1y ago,Qualifier C-Round of 64,First Strike: Europe,/5865/frat3rnity-vs-n0thing-to-l0se-first-strike-europe-qualifier-c-ro64,https://owcdn.net/img/5f8e73ec18ba4.png
Ninjas in Pyjamas,The Stream Team,13,4,1y ago,Qualifier C-Round of 64,First Strike: Europe,/5866/ninjas-in-pyjamas-vs-the-stream-team-first-strike-europe-qualifier-c-ro64,https://owcdn.net/img/5f8e73ec18ba4.png
ZEROZONE,Grow uP eSports,10,13,1y ago,Qualifier C-Round of 64,First Strike: Europe,/5867/zer-zone-vs-grow-up-esports-first-strike-europe-qualifier-c-ro64,https://owcdn.net/img/5f8e73ec18ba4.png
Rix.GG,Allware,13,3,1y ago,Qualifier C-Round of 64,First Strike: Europe,/5868/rix-gg-vs-allware-first-strike-europe-qualifier-c-ro64,https://owcdn.net/img/5f8e73ec18ba4.png
Wygers,SPARX Esports,13,9,1y ago,Qualifier C-Round of 64,First Strike: Europe,/5869/wygers-vs-sparx-esports-first-strike-europe-qualifier-c-ro64,https://owcdn.net/img/5f8e73ec18ba4.png
Opportunists,LE GAMING,13,4,1y ago,Qualifier C-Round of 64,First Strike: Europe,/5870/opportunists-vs-le-gaming-first-strike-europe-qualifier-c-ro64,https://owcdn.net/img/5f8e73ec18ba4.png
Inside Games,Wizards Club,13,9,1y ago,Qualifier C-Round of 64,First Strike: Europe,/5871/inside-games-vs-wizards-club-first-strike-europe-qualifier-c-ro64,https://owcdn.net/img/5f8e73ec18ba4.png
ex-Giants Gaming,YoungTalents,13,0,1y ago,Qualifier C-Round of 64,First Strike: Europe,/5872/giants-gaming-vs-youngtalents-first-strike-europe-qualifier-c-ro64,https://owcdn.net/img/5f8e73ec18ba4.png
thunderPEEK,Entropiq Bravo,6,13,1y ago,Qualifier C-Round of 64,First Strike: Europe,/5873/thunderpeek-vs-entropiq-bravo-first-strike-europe-qualifier-c-ro64,https://owcdn.net/img/5f8e73ec18ba4.png
